집계일자,영업소코드,입출구구분코드,TCS하이패스구분코드,고속도로운영기관구분코드,영업형태구분코드,1종교통량,2종교통량,3종교통량,4종교통량,5종교통량,6종교통량,총교통량
20100301,11,0,1,0,1,25074,757,225,329,1015,1979,29379
20100301,11,0,2,0,1,17987,223,361,0,0,707,19278
20100301,11,1,1,0,1,25377,784,235,340,972,1996,29704
20100301,11,1,2,0,1,18739,225,392,0,0,744,20100
20100301,53,0,1,0,1,13240,310,99,128,601,935,15313
20100301,53,0,2,0,1,10643,65,694,0,0,364,11766
20100301,53,1,1,0,1,13115,261,157,125,471,975,15104
20100301,53,1,2,0,1,10843,72,700,0,0,358,11973
20100301,56,0,1,0,1,296,2,4,3,16,17,338
20100301,56,0,2,0,1,74,4,1,0,0,0,79
20100301,56,1,1,0,1,279,6,2,2,11,15,315
20100301,56,1,2,0,1,71,1,0,0,0,0,72
20100301,61,0,1,0,1,26189,1271,547,343,418,1636,30404
20100301,61,0,2,0,1,25776,477,1028,0,0,752,28033
20100301,61,1,1,0,1,21871,1082,441,356,429,1382,25561
20100301,61,1,2,0,1,21649,388,1152,0,0,650,23839
20100301,62,0,1,0,1,37868,1875,705,542,560,2304,43854
20100301,62,0,2,0,1,29504,574,905,0,1,916,31900
20100301,62,1,1,0,1,39390,1725,631,481,513,2344,45084
20100301,62,1,2,0,1,31594,512,914,0,0,883,33903
20100301,63,0,1,0,1,3574,148,51,46,64,222,4105
20100301,63,0,2,0,1,2667,40,12,0,0,92,2811
20100301,63,1,1,0,1,3322,141,42,30,55,230,3820
20100301,63,1,2,0,1,2552,40,6,0,0,80,2678
20100301,64,0,1,0,1,27269,982,329,234,477,1813,31104
20100301,64,0,2,0,1,25483,301,1227,0,0,833,27844
20100301,64,1,1,0,1,30000,1160,369,246,520,1950,34245
20100301,64,1,2,0,1,27625,338,1232,0,0,865,30060
20100301,65,0,1,0,1,14205,259,111,135,92,753,15555
20100301,65,0,2,0,1,14451,143,1650,0,0,382,16626
20100301,65,1,1,0,1,15623,289,134,133,93,789,17061
20100301,65,1,2,0,1,15873,139,1649,0,0,370,18031
20100301,66,0,1,0,1,6011,220,57,36,43,372,6739
20100301,66,0,2,0,1,5641,62,79,0,0,169,5951
20100301,66,1,1,0,1,4338,191,30,22,33,258,4872
20100301,66,1,2,0,1,4109,71,73,0,0,108,4361
20100301,67,0,1,0,1,28396,972,442,414,457,1845,32526
20100301,67,0,2,0,1,24394,327,637,1,11,775,26145
20100301,67,1,1,0,1,31101,1060,309,388,635,1946,35439
20100301,67,1,2,0,1,26420,248,643,0,0,786,28097
20100301,68,0,1,0,1,31247,1282,371,364,635,2213,36112
20100301,68,0,2,0,1,26813,262,597,1,0,891,28564
20100301,68,1,1,0,1,33411,1225,402,371,806,2325,38540
20100301,68,1,2,0,1,27429,265,642,0,0,862,29198
20100301,69,0,1,0,1,762,7,0,0,0,50,819
20100301,69,0,2,0,1,802,2,0,0,0,29,833
20100301,69,1,1,0,1,1633,3,1,1,0,91,1729
20100301,69,1,2,0,1,1440,1,0,0,0,29,1470
20100301,74,0,1,10,1,1113,29,12,28,20,75,1277
20100301,74,0,2,10,1,1092,8,2,1,0,35,1138
20100301,74,1,1,10,1,1618,30,17,12,19,91,1787
20100301,74,1,2,10,1,1310,7,5,0,0,43,1365
20100301,91,0,1,0,1,799,66,19,74,58,69,1085
20100301,91,0,2,0,1,648,9,0,0,0,38,695
20100301,91,1,1,0,1,801,61,19,87,66,80,1114
20100301,91,1,2,0,1,724,9,0,0,0,35,768
20100301,92,0,1,0,1,2579,90,24,26,50,233,3002
20100301,92,0,2,0,1,2331,31,135,0,0,64,2561
20100301,92,1,1,0,1,2003,77,23,19,45,179,2346
20100301,92,1,2,0,1,1659,28,124,0,0,57,1868
20100301,101,0,1,0,0,45111,1450,823,502,351,1403,49640
20100301,101,0,2,0,0,28932,589,6036,0,0,731,36288
20100301,101,1,1,0,0,46366,1553,925,618,372,2246,52080
20100301,101,1,2,0,0,27745,681,6427,0,9,670,35532
20100301,102,0,1,0,0,11822,261,134,59,129,473,12878
20100301,102,0,2,0,0,10980,109,661,0,0,300,12050
20100301,102,1,1,0,0,12107,302,143,54,113,792,13511
20100301,102,1,2,0,0,10591,85,665,0,0,341,11682
20100301,103,0,1,0,0,14627,673,290,181,166,553,16490
20100301,103,0,2,0,0,12523,459,1120,0,2,360,14464
20100301,103,1,1,0,0,16842,671,309,193,158,1003,19176
20100301,103,1,2,0,0,13992,418,1076,1,1,407,15895
20100301,104,0,1,0,0,401,11,5,17,8,16,458
20100301,104,0,2,0,0,225,4,5,0,0,9,243
20100301,104,1,1,0,0,289,15,7,9,7,20,347
20100301,104,1,2,0,0,182,4,2,1,0,6,195
20100301,105,0,1,0,0,1440,287,223,63,61,47,2121
20100301,105,0,2,0,0,1618,134,12,0,0,50,1814
20100301,105,1,1,0,0,3168,206,79,72,52,191,3768
20100301,105,1,2,0,0,2800,88,21,0,0,100,3009
20100301,106,0,1,0,0,7863,592,374,305,178,319,9631
20100301,106,0,2,0,0,5633,243,457,0,0,190,6523
20100301,106,1,1,0,0,8404,567,407,263,148,528,10317
20100301,106,1,2,0,0,5597,224,491,0,0,183,6495
20100301,107,0,1,0,0,8303,289,171,159,92,318,9332
20100301,107,0,2,0,0,4878,98,599,0,0,139,5714
20100301,107,1,1,0,0,8202,306,148,117,79,463,9315
20100301,107,1,2,0,0,4685,110,552,0,0,145,5492
20100301,108,0,1,0,0,14189,480,298,324,268,461,16020
20100301,108,0,2,0,0,7425,126,854,0,0,188,8593
20100301,108,1,1,0,0,13381,404,228,269,194,694,15170
20100301,108,1,2,0,0,7384,114,813,1,0,184,8496
20100301,109,0,1,0,0,1377,71,27,16,45,60,1596
20100301,109,0,2,0,0,846,11,9,0,0,28,894
20100301,109,1,1,0,0,1409,76,29,17,50,123,1704
20100301,109,1,2,0,0,839,10,3,0,0,30,882
20100301,110,0,1,0,0,3373,184,180,283,181,90,4291
20100301,110,0,2,0,0,1612,45,119,0,0,31,1807
20100301,110,1,1,0,0,5017,215,220,269,190,243,6154
20100301,110,1,2,0,0,2601,54,119,0,0,62,2836
20100301,111,0,1,0,0,5904,165,73,89,105,183,6519
20100301,111,0,2,0,0,2558,33,636,0,0,45,3272
20100301,111,1,1,0,0,7206,189,104,119,144,327,8089
20100301,111,1,2,0,0,3161,50,646,0,0,54,3911
20100301,112,0,1,0,0,4236,275,99,145,184,154,5093
20100301,112,0,2,0,0,2137,99,190,0,0,59,2485
20100301,112,1,1,0,0,4524,269,168,216,193,251,5621
20100301,112,1,2,0,0,2225,105,174,0,0,63,2567
20100301,113,0,1,0,0,5760,330,174,266,309,262,7101
20100301,113,0,2,0,0,3467,130,31,0,0,99,3727
20100301,113,1,1,0,0,7935,371,158,287,319,366,9436
20100301,113,1,2,0,0,3838,111,32,0,0,102,4083
20100301,114,0,1,0,0,2165,73,30,22,33,91,2414
20100301,114,0,2,0,0,1200,13,39,0,0,28,1280
20100301,114,1,1,0,0,2107,71,19,24,47,120,2388
20100301,114,1,2,0,0,1130,12,35,0,0,30,1207
20100301,115,0,1,0,0,13427,280,133,101,117,476,14534
20100301,115,0,2,0,0,7286,137,1095,0,0,208,8726
20100301,115,1,1,0,0,14021,300,120,113,102,736,15392
20100301,115,1,2,0,0,6885,137,1085,0,0,182,8289
20100301,116,0,1,0,0,3020,134,34,105,53,150,3496
20100301,116,0,2,0,0,1586,68,54,0,0,64,1772
20100301,116,1,1,0,0,2839,132,51,181,46,194,3443
20100301,116,1,2,0,0,1385,71,54,0,0,57,1567
20100301,117,0,1,0,0,324,8,3,4,16,23,378
20100301,117,0,2,0,0,169,1,0,0,0,6,176
20100301,117,1,1,0,0,376,13,2,20,26,24,461
20100301,117,1,2,0,0,162,2,0,0,0,6,170
20100301,118,0,1,0,0,1032,47,13,19,41,38,1190
20100301,118,0,2,0,0,517,7,19,0,0,12,555
20100301,118,1,1,0,0,1089,46,17,17,36,58,1263
20100301,118,1,2,0,0,496,7,31,0,0,16,550
20100301,119,0,1,0,0,4416,94,25,69,60,204,4868
20100301,119,0,2,0,0,2279,41,28,0,0,67,2415
20100301,119,1,1,0,0,4442,96,41,44,48,277,4948
20100301,119,1,2,0,0,2088,35,36,0,0,70,2229
20100301,120,0,1,0,0,878,28,18,24,25,22,995
20100301,120,0,2,0,0,424,5,26,0,0,8,463
20100301,120,1,1,0,0,677,19,17,22,17,28,780
20100301,120,1,2,0,0,262,4,23,0,0,6,295
20100301,121,0,1,0,0,437,10,3,8,14,22,494
20100301,121,0,2,0,0,259,6,9,0,0,4,278
20100301,121,1,1,0,0,408,7,4,3,10,33,465
20100301,121,1,2,0,0,198,2,9,0,0,4,213
20100301,122,0,1,0,0,3329,86,70,72,105,124,3786
20100301,122,0,2,0,0,1509,25,41,1,0,35,1611
20100301,122,1,1,0,0,3087,86,76,58,118,164,3589
20100301,122,1,2,0,0,1340,33,37,0,0,27,1437
20100301,123,0,1,0,0,7545,148,93,141,97,288,8312
20100301,123,0,2,0,0,4166,54,329,0,0,114,4663
20100301,123,1,1,0,0,8126,164,79,124,125,502,9120
20100301,123,1,2,0,0,4557,64,340,0,0,107,5068
20100301,124,0,1,0,0,1624,116,70,108,68,51,2037
20100301,124,0,2,0,0,1002,21,43,0,0,17,1083
20100301,124,1,1,0,0,1259,88,69,64,64,63,1607
20100301,124,1,2,0,0,750,16,20,0,0,13,799
20100301,125,0,1,0,0,4250,188,91,135,267,201,5132
20100301,125,0,2,0,0,2561,32,170,0,0,78,2841
20100301,125,1,1,0,0,5131,193,108,135,284,337,6188
20100301,125,1,2,0,0,3258,28,169,0,0,110,3565
20100301,126,0,1,0,0,4554,357,168,140,203,194,5616
20100301,126,0,2,0,0,3234,179,76,0,0,88,3577
20100301,126,1,1,0,0,4733,363,155,103,176,292,5822
20100301,126,1,2,0,0,3280,125,80,0,0,86,3571
20100301,127,0,1,0,0,23220,1220,487,486,812,1004,27229
20100301,127,0,2,0,0,15415,333,754,0,1,391,16894
