집계일자,영업소코드,입출구구분코드,TCS하이패스구분코드,고속도로운영기관구분코드,영업형태구분코드,1종교통량,2종교통량,3종교통량,4종교통량,5종교통량,6종교통량,총교통량,
20110601,011 ,0,1,00,1,25309,1377,980,1032,2167,2929,33794,
20110601,011 ,0,2,00,1,36169,911,624,0,0,2335,40039,
20110601,011 ,1,1,00,1,25889,1925,760,1186,2454,2979,35193,
20110601,011 ,1,2,00,1,36497,919,647,0,0,2327,40390,
20110601,053 ,0,1,00,1,11710,703,264,398,1375,1253,15703,
20110601,053 ,0,2,00,1,18598,355,639,0,0,1133,20725,
20110601,053 ,1,1,00,1,11361,545,313,377,953,1214,14763,
20110601,053 ,1,2,00,1,17333,354,641,0,0,1088,19416,
20110601,056 ,0,1,00,1,319,14,7,5,46,19,410,
20110601,056 ,0,2,00,1,170,0,2,0,0,4,176,
20110601,056 ,1,1,00,1,296,13,6,5,35,14,369,
20110601,056 ,1,2,00,1,150,5,7,0,0,3,165,
20110601,061 ,0,1,00,1,19934,2093,1615,931,1046,1761,27380,
20110601,061 ,0,2,00,1,40179,1403,1384,1,2,1997,44966,
20110601,061 ,1,1,00,1,18137,1933,1271,1161,1305,1562,25369,
20110601,061 ,1,2,00,1,37624,1276,1309,2,2,1989,42202,
20110601,062 ,0,1,00,1,30965,3428,2373,1505,1256,2872,42399,
20110601,062 ,0,2,00,1,44193,1639,1372,0,2,2247,49453,
20110601,062 ,1,1,00,1,27697,2858,2205,1743,1462,2505,38470,
20110601,062 ,1,2,00,1,44886,1533,1324,0,0,2320,50063,
20110601,063 ,0,1,00,1,2939,250,133,124,209,250,3905,
20110601,063 ,0,2,00,1,4664,123,31,0,0,219,5037,
20110601,063 ,1,1,00,1,2432,239,83,115,227,221,3317,
20110601,063 ,1,2,00,1,3675,94,24,0,0,175,3968,
20110601,064 ,0,1,00,1,23382,2002,1478,846,1659,2272,31639,
20110601,064 ,0,2,00,1,46890,1278,1126,1,1,2678,51974,
20110601,064 ,1,1,00,1,24676,2199,1681,770,1567,2391,33284,
20110601,064 ,1,2,00,1,46532,1362,1173,1,1,2583,51652,
20110601,065 ,0,1,00,1,15211,488,244,298,245,1145,17631,
20110601,065 ,0,2,00,1,30070,433,3046,0,0,1192,34741,
20110601,065 ,1,1,00,1,17493,554,275,342,359,1277,20300,
20110601,065 ,1,2,00,1,34016,438,3007,0,0,1313,38774,
20110601,066 ,0,1,00,1,4157,337,128,128,97,368,5215,
20110601,066 ,0,2,00,1,7696,218,150,0,0,379,8443,
20110601,066 ,1,1,00,1,3670,248,137,115,102,305,4577,
20110601,066 ,1,2,00,1,6600,183,121,0,0,265,7169,
20110601,067 ,0,1,00,1,20953,1755,1237,1352,1269,1944,28510,
20110601,067 ,0,2,00,1,37392,1181,1023,0,0,2175,41771,
20110601,067 ,1,1,00,1,20941,2303,1101,1377,1929,1991,29642,
20110601,067 ,1,2,00,1,37744,1171,1006,0,0,2178,42099,
20110601,068 ,0,1,00,1,26242,2892,1489,1435,2169,2489,36716,
20110601,068 ,0,2,00,1,44027,1323,822,0,0,2543,48715,
20110601,068 ,1,1,00,1,27532,2850,1308,1394,2284,2622,37990,
20110601,068 ,1,2,00,1,44693,1363,957,0,0,2600,49613,
20110601,069 ,0,1,00,1,859,12,2,0,0,78,951,
20110601,069 ,0,2,00,1,1630,11,11,0,0,57,1709,
20110601,069 ,1,1,00,1,1350,15,2,0,0,128,1495,
20110601,069 ,1,2,00,1,2447,6,0,0,0,93,2546,
20110601,074 ,0,1,10,1,1580,89,64,62,164,151,2110,
20110601,074 ,0,2,10,1,2759,43,9,0,0,152,2963,
20110601,074 ,1,1,10,1,1998,111,34,51,168,175,2537,
20110601,074 ,1,2,10,1,2922,53,10,0,0,162,3147,
20110601,091 ,0,1,00,1,1192,200,75,241,140,87,1935,
20110601,091 ,0,2,00,1,1602,44,3,0,0,77,1726,
20110601,091 ,1,1,00,1,1311,237,120,292,123,108,2191,
20110601,091 ,1,2,00,1,1789,60,2,0,0,85,1936,
20110601,092 ,0,1,00,1,1898,172,46,73,130,277,2596,
20110601,092 ,0,2,00,1,3074,69,115,0,0,202,3460,
20110601,092 ,1,1,00,1,1504,167,42,60,117,213,2103,
20110601,092 ,1,2,00,1,2231,63,98,0,0,129,2521,
20110601,101 ,0,1,00,0,30150,2106,1624,1293,719,1083,36975,
20110601,101 ,0,2,00,0,44034,1464,7966,1,0,1820,55285,
20110601,101 ,1,1,00,0,28430,2467,1639,1945,1023,1932,37436,
20110601,101 ,1,2,00,0,42240,1788,7817,1,0,1768,53614,
20110601,102 ,0,1,00,0,10056,526,237,202,389,530,11940,
20110601,102 ,0,2,00,0,19448,314,1158,0,0,992,21912,
20110601,102 ,1,1,00,0,9793,519,272,207,348,885,12024,
20110601,102 ,1,2,00,0,18036,297,1091,0,0,956,20380,
20110601,103 ,0,1,00,0,12488,1003,720,630,487,554,15882,
20110601,103 ,0,2,00,0,24732,957,2202,0,0,1229,29120,
20110601,103 ,1,1,00,0,12993,1090,702,620,531,1050,16986,
20110601,103 ,1,2,00,0,25337,906,2054,0,0,1310,29607,
20110601,104 ,0,1,00,0,186,28,23,43,53,16,349,
20110601,104 ,0,2,00,0,204,11,16,0,0,10,241,
20110601,104 ,1,1,00,0,199,44,24,28,44,24,363,
20110601,104 ,1,2,00,0,197,6,17,0,0,10,230,
20110601,105 ,0,1,00,0,1976,365,315,228,205,103,3192,
